Defendant Agency Name,Docket #,Jurisdiction,Court Jurisdiction,Responsible Agency File #,Submitting Agency File #,Control #,Payment ID #,Payment Sent Date,Principal Amount,Principal Citation Code,Principal Citation Code Description,Attorney Fees Amount,Attorney Fees Citation Code,Attorney Fees Citation Code Description,Cost Amount,Cost Citation Code,Cost Citation Code Description,Interest Amount,Interest Citation Code,Interest Citation Code Description,Payment Amount,Reimbursable
"General Services Administration","3183","Board of Contract Appeals","","RIL00464","","201304917","056102013","11/07/2013","6200.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","6200.00","Y",
"Department of Navy","","Board of Contract Appeals","","56378, 56739","","201400054","000012014","10/24/2013","630000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","630000.00","Y",
"Bur of Indian Affair","","Board of Contract Appeals","","CBCA 2590-1165-REM","","201400103","003942014","12/06/2013","75000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","824.74","41-USC-7101et seq        ","Contract Disputes Act","75824.74","Y",
"Department of the Army","","Board of Contract Appeals","","INTENTIONALLY BLANK","","201400182","000622014","11/06/2013","564530.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","178320.90","41-USC-7101et seq        ","Contract Disputes Act","742850.90","Y",
"Department of the Army","","Board of Contract Appeals","","INTENTIONALLY BLANK","","201400185","000632014","11/06/2013","52069.30","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","19477.08","41-USC-7101et seq        ","Contract Disputes Act","71546.38","Y",
"US Army Corps of Engineers","57883","Board of Contract Appeals","","491281A","","201400437","002292014","11/21/2013","1800000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","77954.83","41-USC-7101et seq        ","Contract Disputes Act","1877954.83","Y",
"Department of Veterans Affairs","CBCA 3244","Board of Contract Appeals","","VA69D-C-1628-CBCA 3244","VA69D-C-1628-CBCA 3244","201400489","010032014","01/23/2014","220000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","220000.00","Y",
"US Army Corps of Engineers","57609 57624 57736 57737 57758 58170","Board of Contract Appeals","","NONE PROVIDED","NONE PROVIDED","201400597","013012014","01/28/2014","1322500.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1322500.00","Y",
"Bur of Indian Affair","ISDA-2543","Board of Contract Appeals","","CBCA 2543 ISDA","","201400706","007542014","01/10/2014","250000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","14677.23","41-USC-7101et seq        ","Contract Disputes Act","264677.23","Y",
"Department of Navy","58333","Board of Contract Appeals","","10-009","10-009","201400776","022982014","02/26/2014","972583.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","3264.15","41-USC-7101et seq        ","Contract Disputes Act","975847.15","Y",
"Indian Health Svc","2990-ISDA","Board of Contract Appeals","","65G990059","","201400931","005152014","12/17/2013","128744.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","5156.82","41-USC-7101et seq        ","Contract Disputes Act","133900.82","Y",
"Department of the Air Force","ASBCA 58531","Board of Contract Appeals","","ASBCA #57264, 58531","ASBCA #57264, 58531","201401292","009742014","01/17/2014","1307000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","105880.46","41-USC-7101et seq        ","Contract Disputes Act","1412880.46","Y",
