Defendant Agency Name,Docket #,Jurisdiction,Court Jurisdiction,Responsible Agency File #,Submitting Agency File #,Control #,Payment ID #,Payment Sent Date,Principal Amount,Principal Citation Code,Principal Citation Code Description,Attorney Fees Amount,Attorney Fees Citation Code,Attorney Fees Citation Code Description,Cost Amount,Cost Citation Code,Cost Citation Code Description,Interest Amount,Interest Citation Code,Interest Citation Code Description,Payment Amount,Reimbursable
"Indian Health Svc","","Board of Contract Appeals","","242-2005-0005C","","201505699","086492015","11/02/2015","500000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","25321.22","41-USC-7101et seq        ","Contract Disputes Act","525321.22","Y",
"Department of Navy","ASBCA NO 58664","Board of Contract Appeals","","N40080-10-D-0498","","201505797","085642015","10/21/2015","96000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","96000.00","Y",
"Indian Health Svc","CBCA 4854-ISDA THROUGH 4858-ISDA","Board of Contract Appeals","","4854-ISDA-4858-ISDA","4854-ISDA-4858-ISDA","201505974","086552015","11/04/2015","475221.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","11382.51","41-USC-7101et seq        ","Contract Disputes Act","486603.51","Y",
"Indian Health Svc","CBCA 4853","Board of Contract Appeals","","239060004","239060004","201505976","086542015","11/04/2015","1135.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","68.08","41-USC-7101et seq        ","Contract Disputes Act","1203.08","Y",
"Department of Veterans Affairs","CBCA 4599","Board of Contract Appeals","","4599","4599","201506136","083542015","10/21/2015","398433.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","398433.00","Y",
"Indian Health Svc","4763-ISDA","Board of Contract Appeals","","243-96-6020","243-96-6020","201506251","084042015","10/21/2015","116601.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","2217.42","41-USC-7101et seq        ","Contract Disputes Act","118818.42","Y",
"Indian Health Svc","CBCA 4764-ISDA THROUGH 4768-ISDA","Board of Contract Appeals","","NONE PROVIDED","","201506372","082482015","10/07/2015","200000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","11436.64","41-USC-7101et seq        ","Contract Disputes Act","211436.64","Y",
"Office of the Secretary of Defense - Agencies","59721","Board of Contract Appeals","","ASBCA 59721","ASBCA 59721","201506434","086682015","11/16/2015","4500000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","252486.66","41-USC-7101et seq        ","Contract Disputes Act","4752486.66","Y",
"Department of Veterans Affairs","","Board of Contract Appeals","","N/A","","201506478","084162015","10/21/2015","343601.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","343601.00","Y",
"US Army Corps of Engineers","","Board of Contract Appeals","","W91278-C-10-0070","W91278-C-10-0070","201506504","086832015","12/04/2015","1509627.50","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1509627.50","Y",
"Department of Navy","","Board of Contract Appeals","","59603","","201600066","002942016","11/02/2015","1500000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1500000.00","Y",
"Indian Health Svc","CBCA 4914-ISDA, 4915-ISDA","Board of Contract Appeals","","HHSI247200500003C","HHSI247200500003C","201600123","001932016","10/21/2015","223500.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","13234.24","41-USC-7101et seq        ","Contract Disputes Act","236734.24","Y",
"Indian Health Svc","CBCA 4811-ISDA, 4812-ISDA","Board of Contract Appeals","","59G930004","59G930004","201600133","001362016","10/21/2015","408039.37","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","23968.59","41-USC-7101et seq        ","Contract Disputes Act","432007.96","Y",
"Department of Veterans Affairs","","Board of Contract Appeals","","None","None","201600144","001332016","10/21/2015","580000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","580000.00","Y",
"Indian Health Svc","CBCA 4622-ISDA through 4626-ISDA","Board of Contract Appeals","","64G970046","64G970046","201600213","001892016","10/21/2015","320993.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","19068.53","41-USC-7101et seq        ","Contract Disputes Act","340061.53","Y",
"Indian Health Svc","CBCA 4868-ISDA through 4875-ISDA","Board of Contract Appeals","","64G950023","64G950023","201600239","001922016","10/21/2015","1137000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","67380.21","41-USC-7101et seq        ","Contract Disputes Act","1204380.21","Y",
"Indian Health Svc","4757","Board of Contract Appeals","","66G930003","66G930003","201600251","004702016","11/05/2015","5400000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","112771.23","41-USC-7101et seq        ","Contract Disputes Act","5512771.23","Y",
"General Services Administration","","Board of Contract Appeals","","GS-01P-BZ-C-0014","","201600293","012672016","12/30/2015","0.00","","","0.00","","","0.00","","","21058.43","41-USC-7101et seq        ","Contract Disputes Act","21058.43","Y",
"General Services Administration","","Board of Contract Appeals","","GS-01P-BZ-C-0014","","201600293","012682016","12/30/2015","0.00","","","0.00","","","0.00","","","1441.13","41-USC-7101et seq        ","Contract Disputes Act","1441.13","Y",
"General Services Administration","","Board of Contract Appeals","","GS-01P-BZ-C-0014","","201600293","012692016","12/30/2015","0.00","","","0.00","","","0.00","","","1361.12","41-USC-7101et seq        ","Contract Disputes Act","1361.12","Y",
"General Services Administration","","Board of Contract Appeals","","GS-01P-BZ-C-0014","","201600293","012702016","12/30/2015","56494.73","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","3556.95","41-USC-7101et seq        ","Contract Disputes Act","60051.68","Y",
"Department of Veterans Affairs","CBCA 4028","Board of Contract Appeals","","CA786A12C0015","CA786A12C0015","201600333","003912016","11/03/2015","275000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","275000.00","Y",
"Office of the Secretary of Defense - Agencies","","Board of Contract Appeals","","59657","59657","201600409","004242016","11/05/2015","23492630.90","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","689653.53","41-USC-7101et seq        ","Contract Disputes Act","24182284.43","Y",
"Department of Veterans Affairs","CBCA 3886","Board of Contract Appeals","","CBCA 3886","","201600459","004642016","11/04/2015","875000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","31625.86","41-USC-7101et seq        ","Contract Disputes Act","906625.86","Y",
"Department of Veterans Affairs","3786 & 3977","Board of Contract Appeals","","CBCA 3786, 3977","CBCA 3786, 3977","201600504","004452016","11/03/2015","3050000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","3050000.00","Y",
"Indian Health Svc","4935-ISDA","Board of Contract Appeals","","65G950019","65G950019","201600533","004832016","11/05/2015","114460.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","2803.87","41-USC-7101et seq        ","Contract Disputes Act","117263.87","Y",
"Indian Health Svc","4923-ISDA","Board of Contract Appeals","","241-93-0003","241-93-0003","201600534","005142016","11/09/2015","8318365.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","8318365.00","Y",
"Indian Health Svc","","Board of Contract Appeals","","INTENTIONALLY BLANK","","201600542","004732016","11/05/2015","1750000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","104846.14","41-USC-7101et seq        ","Contract Disputes Act","1854846.14","Y",
"Indian Health Svc","","Board of Contract Appeals","","243966020","","201600563","005342016","11/09/2015","613176.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","34284.48","41-USC-7101et seq        ","Contract Disputes Act","647460.48","Y",
"Indian Health Svc","","Board of Contract Appeals","","244990008","","201600564","005122016","11/09/2015","200000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","11995.44","41-USC-7101et seq        ","Contract Disputes Act","211995.44","Y",
"Department of Veterans Affairs","CBCA 2775 & 4445","Board of Contract Appeals","","CBCA 2275 4445","CBCA 2275 4445","201600733","012302016","12/28/2015","816000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","816000.00","Y",
"US Army Corps of Engineers","","Board of Contract Appeals","","W91266-10-C-0079","","201600813","009362016","12/04/2015","94268.98","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","2516.21","41-USC-7101et seq        ","Contract Disputes Act","96785.19","Y",
"Indian Health Svc","4948-ISDA","Board of Contract Appeals","","62G030075","62G030075","201601104","011512016","12/21/2015","2100756.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","129785.47","41-USC-7101et seq        ","Contract Disputes Act","2230541.47","Y",
"Department of Navy","","Board of Contract Appeals","","BLANK","","201601133","017552016","01/29/2016","12251.81","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","12251.81","Y",
"General Services Administration","CBCA 2545","Board of Contract Appeals","","Not provided","Not provided","201601370","022452016","02/22/2016","207472.50","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","207472.50","Y",
