Defendant Agency Name,Docket #,Jurisdiction,Court Jurisdiction,Responsible Agency File #,Submitting Agency File #,Control #,Payment ID #,Payment Sent Date,Principal Amount,Principal Citation Code,Principal Citation Code Description,Attorney Fees Amount,Attorney Fees Citation Code,Attorney Fees Citation Code Description,Cost Amount,Cost Citation Code,Cost Citation Code Description,Interest Amount,Interest Citation Code,Interest Citation Code Description,Payment Amount,Reimbursable
"US Army Corps of Engineers","","Board of Contract Appeals","","","","200701051","03157911 ","12/05/2006","1236350.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1236350.00","Y",
"US Army Corps of Engineers","","Board of Contract Appeals","","ASBCA 53202","","200701084","03158611 ","12/12/2006","188507.45","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","62542.12","41-USC-601et seq         ","Contract Disputes Act","251049.57","Y",
"Department of Veterans Affairs","","Board of Contract Appeals","","VABCA7498","","200701139","03163292 ","02/02/2007","0.00","","","0.00","","","0.00","","","82434.06","41-USC-601et seq         ","Contract Disputes Act","","Y",
"Department of Navy","","Board of Contract Appeals","","ASBCA54592","","200701242","03165941 ","12/19/2006","225000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","2906.51","41-USC-601et seq         ","Contract Disputes Act","227906.51","Y",
"Department of Veterans Affairs","","Board of Contract Appeals","","74517462","","200701453","03170601 ","01/02/2007","86189.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","86189.00","Y",
"Department of Veterans Affairs","","Board of Contract Appeals","","VABCA75277529","","200701563","03172621 ","01/02/2007","625000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","625000.00","Y",
"Department of the Air Force","","Board of Contract Appeals","","FINAL","","200702507","03196561 ","03/28/2007","95000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","95000.00","Y",
"General Services Administration","406 409","Board of Contract Appeals","","","","200704363","03240581 ","05/24/2007","495000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","495000.00","Y",
"US Army Corps of Engineers","","Board of Contract Appeals","","","","200704567","03246053 ","07/13/2007","109639.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","26135.76","41-USC-601et seq         ","Contract Disputes Act","","Y",
"US Army Corps of Engineers","","Board of Contract Appeals","","","","200704567","03246054 ","07/13/2007","11660.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","2839.25","41-USC-601et seq         ","Contract Disputes Act","","Y",
