Defendant Agency Name,Docket #,Jurisdiction,Court Jurisdiction,Responsible Agency File #,Submitting Agency File #,Control #,Payment ID #,Payment Sent Date,Principal Amount,Principal Citation Code,Principal Citation Code Description,Attorney Fees Amount,Attorney Fees Citation Code,Attorney Fees Citation Code Description,Cost Amount,Cost Citation Code,Cost Citation Code Description,Interest Amount,Interest Citation Code,Interest Citation Code Description,Payment Amount,Reimbursable
"Department of Justice","11-2346","Bd of Immigration Appeals for use with 28USC2412","","39-23-5656","39-23-5656","201203624","041712012","06/21/2012","0.00","","","0.00","","","836.50","28-USC-2412(a)           ","Costs Per 28 USC 1920","0.00","","","836.50","N",
"Indian Health Svc","No CBCA 187-ISDA 224-ISDA 225-ISDA","Board of Contract Appeals","","CBCA187ISDA 224ISDA 225ISDA","","201203537","039532012","06/01/2012","300000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","300000.00","Y",
"US Army Corps of Engineers","","Board of Contract Appeals","","DACA51-01-C-0039","","201203901","043662012","07/05/2012","51610.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","51610.00","Y",
"Department of Veterans Affairs","","Board of Contract Appeals","","VA101 (049A3)-V-0328","VA101 (049A3)-V-0328","201204136","041742012","06/26/2012","371000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","371000.00","Y",
"Department of Veterans Affairs","","Board of Contract Appeals","","VA101 (049A3)-V-0328","VA101 (049A3)-V-0328","201204136","041752012","06/26/2012","29000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","29000.00","Y",
"Department of the Army","56748","Board of Contract Appeals","District of Columbia","56748","56748","201204168","045872012","07/20/2012","127164.47","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","96230.64","41-USC-7101et seq        ","Contract Disputes Act","223395.11","Y",
"General Services Administration","CBCA1460","Board of Contract Appeals","","CBCA1460","","201204295","043772012","07/05/2012","440000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","78646.30","41-USC-7101et seq        ","Contract Disputes Act","518646.30","Y",
"Department of Veterans Affairs","","Board of Contract Appeals","","V101BC0197","V101BC0197","201204430","044072012","07/05/2012","1164889.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","310764.20","41-USC-7101et seq        ","Contract Disputes Act","1475653.20","Y",
"General Services Administration","2278","Board of Contract Appeals","","NONE PROVIDED","","201204729","045232012","07/13/2012","148602.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","78.16","41-USC-7101et seq        ","Contract Disputes Act","148680.16","Y",
"Indian Health Svc","744-ISDA, 745-ISDA, 746-ISDA","Board of Contract Appeals","","744-ISDA","","201204800","048262012","08/01/2012","75000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","75000.00","Y",
