Defendant Agency Name,Docket #,Jurisdiction,Court Jurisdiction,Responsible Agency File #,Submitting Agency File #,Control #,Payment ID #,Payment Sent Date,Principal Amount,Principal Citation Code,Principal Citation Code Description,Attorney Fees Amount,Attorney Fees Citation Code,Attorney Fees Citation Code Description,Cost Amount,Cost Citation Code,Cost Citation Code Description,Interest Amount,Interest Citation Code,Interest Citation Code Description,Payment Amount,Reimbursable
"Office of the Secretary of Defense - Agencies","","Board of Contract Appeals","","W74V8H-04-D-0033, 56230 & 56231","","201000212","005292010","10/22/2009","5857455.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","5857455.00","Y",
"General Services Administration","","Board of Contract Appeals","","DJ#77-6-236","","201001867","038902010","02/19/2010","16373.75","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","16373.75","Y",
"General Services Administration","","Board of Contract Appeals","","DJ#77-6-236","","201001867","038922010","02/19/2010","214801.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","67133.76","41-USC-601et seq         ","Contract Disputes Act","281934.76","Y",
"General Services Administration","A93-00889","Board of Contract Appeals","","NONE PROVIDED","","201001894","042492010","03/03/2010","59197.45","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","18554.25","41-USC-601et seq         ","Contract Disputes Act","77751.70","Y",
"National Aeronautics and Space Administration; Office of the Secretary of Defense - Agencies","","Board of Contract Appeals","","SA - 55395, 55418, 55812; SA - 55395, 55418, 55812","","201002135","048732010","03/19/2010","1426962.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1426962.00","Y",
"Fed Aviation Admin","","Board of Contract Appeals","","DTFA04-93-L-84029","DTFA04-93-L-84029","201002461","049622010","03/25/2010","26991.37","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","2902.03","41-USC-601et seq         ","Contract Disputes Act","29893.40","Y",
"General Services Administration","","Board of Contract Appeals","","SA - GS-09P-02-KTC-0002","","201003208","069622010","05/17/2010","131325.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","2677.77","41-USC-601et seq         ","Contract Disputes Act","134002.77","Y",
"General Services Administration","","Board of Contract Appeals","","SA - GS-09P-02-KTC-0002","","201003208","069642010","05/17/2010","5154743.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","509144.40","41-USC-601et seq         ","Contract Disputes Act","5663887.40","Y",
"Department of Veterans Affairs","","Board of Contract Appeals","","316/60281","","201003546","070332010","05/18/2010","33000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","49.95","41-USC-601et seq         ","Contract Disputes Act","33049.95","Y",
"Department of the Air Force","","Board of Contract Appeals","","NOT SUBMITTED","","201004224","087782010","07/01/2010","3382685.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","3382685.00","Y",
"Department of the Air Force","","Board of Contract Appeals","","N/A","N/A","201004241","092342010","07/14/2010","0.00","","","0.00","","","0.00","","","184800.64","41-USC-601et seq         ","Contract Disputes Act","184800.64","Y",
"Department of the Air Force","","Board of Contract Appeals","","N/A","N/A","201004241","092362010","07/14/2010","1700000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","17634.59","41-USC-601et seq         ","Contract Disputes Act","1717634.59","Y",
"Department of Navy","","Board of Contract Appeals","","ASBCA 56699","ASBCA 56699","201004523","089162010","07/07/2010","550000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","550000.00","Y",
"Department of Navy","","Board of Contract Appeals","","SA - 55504","SA - 55504","201004943","100812010","08/13/2010","5000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","1708.12","41-USC-601et seq         ","Contract Disputes Act","6708.12","Y",
"Department of Navy","","Board of Contract Appeals","","54854","54854","201005075","100832010","08/13/2010","105117.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","35910.59","41-USC-601et seq         ","Contract Disputes Act","141027.59","Y",
"US Army Corps of Engineers","","Contract Disputes","","MTS 260211","MTS 260211","201000144","002562010","10/14/2009","1750000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1750000.00","Y",
"General Services Administration","CBCA  1230","Contract Disputes","","CBCA 1230","","201000208","027902010","01/08/2010","111000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","111000.00","Y",
"Office of the Secretary of Defense - Agencies","ASBCA NO 56959","Contract Disputes","","ASBCA NO 56959","","201000521","016292010","12/01/2009","19825000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","19825000.00","Y",
"US Army Corps of Engineers","56683","Contract Disputes","","ASBCA NO 56683","","201000760","014442010","11/25/2009","179000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","179000.00","Y",
"Natl Inst of Health","","Contract Disputes","","NOT PROVIDED","","201001000","019762010","12/09/2009","1900000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","6090.41","41-USC-601et seq         ","Contract Disputes Act","1906090.41","Y",
"General Services Administration","CBCA NOS 504, 505 & 1436","Contract Disputes","","PROJECT NO NFL97001","","201001199","023312010","12/18/2009","3678311.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","66322.97","41-USC-601et seq         ","Contract Disputes Act","3744633.97","Y",
"General Services Administration","CBCA 1640","Contract Disputes","","CBCA 1460","","201001214","023852010","12/23/2009","1001393.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1001393.00","Y",
"General Services Administration","518 519 764 765 and 1202","Contract Disputes","","GS 09P-01-KTC-0071","","201001323","025552010","12/30/2009","4750000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","86280.82","41-USC-601et seq         ","Contract Disputes Act","4836280.82","Y",
"DHS - Federal Protection Service","CBCA 104 1403 1638 1639 1648 1641 1642 1833 1857","Contract Disputes","","CBCA 104 ECT","","201002037","072152010","05/26/2010","25000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","25000.00","Y",
"General Services Administration","","Contract Disputes","","CBCA 1242","","201002330","045742010","03/15/2010","275000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","275000.00","Y",
"General Services Administration","CBCA 425","Contract Disputes","","GS-03B-02301","","201002351","048222010","03/18/2010","350000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","350000.00","Y",
