Defendant Agency Name,Docket #,Jurisdiction,Court Jurisdiction,Responsible Agency File #,Submitting Agency File #,Control #,Payment ID #,Payment Sent Date,Principal Amount,Principal Citation Code,Principal Citation Code Description,Attorney Fees Amount,Attorney Fees Citation Code,Attorney Fees Citation Code Description,Cost Amount,Cost Citation Code,Cost Citation Code Description,Interest Amount,Interest Citation Code,Interest Citation Code Description,Payment Amount,Reimbursable
"US Army Corps of Engineers","","Board of Contract Appeals","","W9126G-04-C-0011","W9126G-04-C-0011","200805009","001442009","10/14/2008","1606408.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","45734.35","41-USC-601et seq         ","Contract Disputes Act","1652142.35","Y",
"Bur of Land Mgmt","1680 (880)","Board of Contract Appeals","","NONE PROVIDED","","200900091","001242009","10/14/2008","972767.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","189290.94","41-USC-601et seq         ","Contract Disputes Act","1162057.94","Y",
"Forest Service","","Board of Contract Appeals","","NONE PROVIDED","","200901045","012432009","12/23/2008","300300.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","30880.22","41-USC-601et seq         ","Contract Disputes Act","331180.22","Y",
"US Army Corps of Engineers","","Board of Contract Appeals","","NONE PROVIDED","","200901222","012492009","12/23/2008","3272190.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","38488.46","41-USC-601et seq         ","Contract Disputes Act","3310678.46","Y",
"Department of Navy","NA","Board of Contract Appeals","","ASBC#56457","ASBC#56457","200901334","030622009","01/07/2009","725000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","725000.00","Y",
"Department of the Air Force","","Board of Contract Appeals","","F08637-02-D-6999","","200902470","042182009","03/12/2009","14000000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","14000000.00","Y",
"Department of Navy","","Board of Contract Appeals","","SA - N62472-00-RP-00117","","200902989","047592009","04/08/2009","300000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","300000.00","Y",
"Department of Navy","ASBCA 56252","Board of Contract Appeals","","ASBCA 56252","","200904508","064002009","07/09/2009","251500.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","251500.00","Y",
"Department of the Air Force","FA8903-04-D-8691","Board of Contract Appeals","","FA8903-04-D-8681","","200904566","064302009","07/13/2009","186000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","186000.00","Y",
"Def Reutilization","ASBCA 56837","Board of Contract Appeals","","ASBCA 56837","","200904680","067482009","07/24/2009","1068000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1068000.00","Y",
"General Services Administration","","Board of Contract Appeals","","CBCA 1296 AND 1378","","200905752","083512009","09/24/2009","840000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","8190.00","41-USC-601et seq         ","Contract Disputes Act","848190.00","Y",
"Department of the Air Force","F61358-99-D-0002","Contract Disputes","","N/A","","200804796","000422009","10/10/2008","250000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","944.26","41-USC-601et seq         ","Contract Disputes Act","250944.26","Y",
"Forest Service","","Contract Disputes","","000225","000225","200805067","005752009","11/06/2008","377979.24","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","67845.53","41-USC-601et seq         ","Contract Disputes Act","445824.77","Y",
"Department of Navy","ASBCA 56440","Contract Disputes","","ASBCA-56440","","200900096","001902009","10/16/2008","576526.56","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","576526.56","Y",
"US Army Corps of Engineers","DACA63-99-C-0034","Contract Disputes","","DACA63-99-C9034","","200900132","001102009","10/14/2008","695000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","11683.03","41-USC-601et seq         ","Contract Disputes Act","706683.03","Y",
"Department of Navy","ASBCA No. 56602","Contract Disputes","","ASBCA #54867","ASBCA #54867","200900670","007222009","11/21/2008","551000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","551000.00","Y",
"Forest Service","CBCA 1381-REIN (1157)","Contract Disputes","","N/A","","200900756","007952009","12/02/2008","75000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","1687.75","41-USC-601et seq         ","Contract Disputes Act","76687.75","Y",
"Department of the Interior; Natl Park Service","CBCA Nos 680, 681, 1047","Contract Disputes","","Not Provided; Not Provided","Not Provided","200900758","007962009","11/26/2008","550000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","70236.92","41-USC-601et seq         ","Contract Disputes Act","620236.92","Y",
"General Services Administration","CBCA 965","Contract Disputes","","n/a","","200901124","011702009","12/18/2008","125000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","125000.00","Y",
"Department of Veterans Affairs","","Contract Disputes","","CBCA1192","","200901684","034052009","01/26/2009","145075.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","8979.49","41-USC-601et seq         ","Contract Disputes Act","154054.49","Y",
"Department of Veterans Affairs","2008-5014","Contract Disputes","","2008-5014","","200901842","035712009","02/06/2009","55112.60","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","55112.60","Y",
"General Services Administration","","Contract Disputes","","NOT PROVIDED","","200901877","036052009","02/09/2009","60000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","60000.00","Y",
"Department of Veterans Affairs","CBCA 1301","Contract Disputes","","CBCA NO 1301","","200901932","036632009","02/12/2009","1000000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","204374.97","41-USC-601et seq         ","Contract Disputes Act","1204374.97","Y",
"General Services Administration","","Contract Disputes","","CBCA 1326","","200902319","040392009","03/19/2009","65864.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","65864.00","Y",
"Department of Veterans Affairs","CBCA 997","Contract Disputes","","NONE PROVIDED","","200902482","043142009","03/16/2009","462000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","462000.00","Y",
"Department of Veterans Affairs","","Contract Disputes","","NONE PROVIDED","","200902503","043012009","03/16/2009","600000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","600000.00","Y",
"General Services Administration","CBCA 717","Contract Disputes","","CBCA 717","","200902513","042742009","03/13/2009","1241617.99","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1241617.99","Y",
"Department of the Army","","Contract Disputes","","NOT PROVIDED","","200902638","044252009","04/01/2009","1494723.46","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1536368.19","Y",
"General Services Administration","CBCA 516, 1233","Contract Disputes","","CBCA 516 AND 1233","","200903937","057752009","06/05/2009","650000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","650000.00","Y",
"US Army Corps of Engineers","56080","Contract Disputes","","W9126G-04-C-0007","W9126G-04-C-0007","200904031","060612009","06/17/2009","59629.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","882.18","41-USC-601et seq         ","Contract Disputes Act","60511.18","Y",
"Department of Labor","CBCA NO 1396","Contract Disputes","","CBCA 1396","","200904081","060522009","06/16/2009","1291000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1291000.00","Y",
"Department of Navy","ASBCA NO 56553","Contract Disputes","","ASBCA NO 56553","","200904146","059862009","06/15/2009","38500.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","38500.00","Y",
"Department of Navy","ASBCA NOS 56627 & 56737","Contract Disputes","","ASBCA #56627 & 56737","","200904482","063632009","07/06/2009","200000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","200000.00","Y",
"Department of State","SALMEC-03-C0030","Contract Disputes","","SALMEC-03-C0030","SALMEC-03-C0030","200904500","063852009","07/07/2009","7250000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","7250000.00","Y",
"US Army Corps of Engineers","ASBCA NO 55030","Contract Disputes","","ASBCA NO 55030","","200904668","065472009","07/16/2009","300000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","300000.00","Y",
"Department of the Air Force","ASBCA NO 56691","Contract Disputes","","ASBCA NO 56691","","200904903","068462009","07/30/2009","3700000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","3700000.00","Y",
"General Services Administration","CBCA 717","Contract Disputes","","CBCA 717","CBCA 717","200904934","068482009","07/30/2009","2652145.46","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","2652145.46","Y",
"Department of Navy","","Contract Disputes","","CDA ASBCA NO. 56855","","200905441","080802009","09/16/2009","81963.19","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","81963.19","Y",
"Department of the Air Force","","Contract Disputes","","56421","","200905576","079782009","09/14/2009","122500.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","122500.00","Y",
"Department of the Air Force","","Contract Disputes","","F09603-97-C-0055","","200905762","083872009","09/25/2009","457270.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","457270.00","Y",
"Department of the Army","DJ77-6-236","Contract Disputes","","77-6-236","","200905765","083912009","09/25/2009","73162.72","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","15753.68","41-USC-601et seq         ","Contract Disputes Act","88916.40","Y",
"US Army Corps of Engineers","90-1-23-10818","Court Of Federal Claims","","90-1-23-10818","","200805427","000552009","10/09/2008","3060807.93","42-USC-4654              ","Litigation Expenses In Inverse Condemnation Cases","0.00","","","0.00","","","0.00","","","3060807.93","N",
"US Army Corps of Engineers","02-1517 L","Court Of Federal Claims","","NOT PROVIDED","","200900036","000462009","10/09/2008","13949251.66","42-USC-4654              ","Litigation Expenses In Inverse Condemnation Cases","0.00","","","0.00","","","0.00","","","13949251.66","N",
"US Army Corps of Engineers","06-796 C","Court Of Federal Claims","","NOT PROVIDED","","200900092","000702009","10/10/2008","3499000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","3499000.00","Y",
"Customs and Border Protection","NA","Court Of Federal Claims","","NA","","200900181","001582009","10/16/2008","2172.87","29-USC-206(d) CT of F Cl ","Equal Pay Act/FLSA","0.00","","","0.00","","","0.00","","","2172.87","N",
"Department of Justice","No 06-601C","Court Of Federal Claims","","154-06-601","154-06-601","200900503","005132009","11/03/2008","571375.00","28-USC-1498              ","Patent/Copyright Infringement","0.00","","","0.00","","","0.00","","","571375.00","N",
"General Services Administration","07-396C","Court Of Federal Claims","","NOT PROVIDED","","200900525","005512009","11/03/2008","80000.00","28-USC-1498              ","Patent/Copyright Infringement","0.00","","","0.00","","","0.00","","","80000.00","N",
"Department of the Air Force","98-943C","Court Of Federal Claims","","N/A","","200900526","005682009","11/07/2008","1242324.46","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","1242324.46","N",
"Department of the Air Force","98-943C","Court Of Federal Claims","","N/A","","200900526","005692009","12/08/2008","348763.20","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","348763.20","N",
"Department of Navy","04-635 C","Court Of Federal Claims","","154-04-635","","200900559","007012009","11/21/2008","403956.45","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","103704.84","41-USC-601et seq         ","Contract Disputes Act","507661.29","Y",
"Department of Navy","04-635 C","Court Of Federal Claims","","154-04-635","","200900559","007022009","11/21/2008","56072.47","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","13267.14","41-USC-601et seq         ","Contract Disputes Act","69339.61","Y",
"Department of Navy","04-635 C","Court Of Federal Claims","","154-04-635","","200900559","007032009","11/21/2008","711250.15","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","195463.24","41-USC-601et seq         ","Contract Disputes Act","906713.39","Y",
"Department of Veterans Affairs","07-151","Court Of Federal Claims","","154-07-151","","200900560","006942009","11/21/2008","1100000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1100000.00","Y",
"Department of Commerce","07-719","Court Of Federal Claims","","154-07-719","","200900571","006862009","11/21/2008","103000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","103000.00","Y",
"Department of Navy","94-366C","Court Of Federal Claims","","NONE PROVIDED","","200900646","006852009","11/21/2008","405000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","405000.00","Y",
"Department of the Air Force","07-126","Court Of Federal Claims","","154-07-126","","200900649","006922009","11/21/2008","323823.67","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","323823.67","Y",
"Department of Agriculture","Varied","Court Of Federal Claims","","154-05-669","","200900691","008412009","12/02/2008","52692835.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","52692835.00","N",
"Fed Aviation Admin","154-F07-478","Court Of Federal Claims","","154-F07-478","","200900773","011142009","12/15/2008","52500.00","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","52500.00","N",
"Department of Energy","","Court Of Federal Claims","","NOT PROVIDED","","200900888","030052009","12/31/2008","82791332.67","28-USC-1491 Implied Contr","Breach of Implied Contract","0.00","","","0.00","","","0.00","","","82791332.67","N",
"Office of Personnel Management","154-01-517; 154-05-371; 154-05-963","Court Of Federal Claims","","154-01-517","","200900911","011612009","12/17/2008","314587.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","113901.59","41-USC-601et seq         ","Contract Disputes Act","428488.59","Y",
"Office of Personnel Management","154-01-517; 154-05-371; 154-05-963","Court Of Federal Claims","","154-05-371","","200900912","011632009","12/17/2008","50375.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","16400.82","41-USC-601et seq         ","Contract Disputes Act","66775.82","Y",
"Office of Personnel Management","154-01-517; 154-05-371; 154-05-963","Court Of Federal Claims","","154-05-963","","200900922","011602009","12/17/2008","622246.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","208025.61","41-USC-601et seq         ","Contract Disputes Act","830271.61","Y",
"Department of Agriculture","154-96-699","Court Of Federal Claims","","154-96-699","","200900923","010292009","12/12/2008","10737223.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","10737223.00","N",
"Office of Personnel Management","154-05-963","Court Of Federal Claims","","154-05-963","","200900925","031302008","01/09/2009","3625782.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","1494037.45","41-USC-601et seq         ","Contract Disputes Act","5119819.45","Y",
