Defendant Agency Name,Docket #,Jurisdiction,Court Jurisdiction,Responsible Agency File #,Submitting Agency File #,Control #,Payment ID #,Payment Sent Date,Principal Amount,Principal Citation Code,Principal Citation Code Description,Attorney Fees Amount,Attorney Fees Citation Code,Attorney Fees Citation Code Description,Cost Amount,Cost Citation Code,Cost Citation Code Description,Interest Amount,Interest Citation Code,Interest Citation Code Description,Payment Amount,Reimbursable
"Department of the Air Force","","Board of Contract Appeals","","FA8903-04-D-8692","","201205965","060162012","10/10/2012","740646.19","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","98183.58","41-USC-7101et seq        ","Contract Disputes Act","838829.77","Y",
"Department of Navy","","Board of Contract Appeals","","N62474-97-0-2478","N62474-97-0-2478","201300432","006072013","11/16/2012","9500.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","9500.00","Y",
"Department of Navy","","Board of Contract Appeals","","57434","","201300466","006142013","11/16/2012","399551.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","399551.00","Y",
"Department of Veterans Affairs","CBCA 2263, 2387, 2428, 2507","Board of Contract Appeals","","V101-183R-678-03-03","V101-183R-678-03-03","201300909","010102013","01/08/2013","190000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","399.73","41-USC-7101et seq        ","Contract Disputes Act","190399.73","Y",
"US Army Corps of Engineers","ASBCA 57509","Board of Contract Appeals","","57509","","201301124","011242013","12/26/2012","2300000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","2300000.00","Y",
"Department of the Air Force","","Board of Contract Appeals","","58264-58269","","201301684","015302013","02/12/2013","70000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","70000.00","Y",
"General Services Administration","","Board of Contract Appeals","","CBCA 2301","","201302082","025782013","05/21/2013","250000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","250000.00","Y",
"Western Area Power","","Board of Contract Appeals","","DE-AC65-08WC79109/DE-FB65-08WC79","DE-AC65-08WC79109/DE-FB65-08WC79","201302427","023002013","03/21/2013","41706.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","3200.08","41-USC-7101et seq        ","Contract Disputes Act","44906.08","Y",
"Marine Corps","58169","Board of Contract Appeals","","ASBCA  58169","","201302682","035732013","05/30/2013","27825.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","28725.00","Y",
"Department of Energy","DE-AC04-83AL18796","Board of Contract Appeals","","N/A","","201302706","027842013","04/11/2013","7799049.19","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","608459.52","41-USC-7101et seq        ","Contract Disputes Act","8407508.71","Y",
"Department of Health and Human Services","2959","Board of Contract Appeals","","NONE PROVIDED","","201302797","030702013","04/23/2013","232768.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","850.56","41-USC-7101et seq        ","Contract Disputes Act","233618.56","Y",
"Department of the Air Force","FA4610-05-D-0008","Board of Contract Appeals","","ASBCA 58223","ASBCA 58223","201302853","036342013","05/22/2013","615000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","1204.73","41-USC-7101et seq        ","Contract Disputes Act","616204.73","Y",
"Department of the Army","58312","Board of Contract Appeals","","DAAA0902D0007 0059 ASBCA 58312","","201303201","039222013","06/11/2013","961572.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","961572.00","Y",
"Indian Health Svc","3105(294) THRU 3108(297)","Board of Contract Appeals","","NONE PROVIDED","","201303856","039982013","06/12/2013","1400000.00","25-USC-450m-1            ","Indian Self Determination Contracts_","0.00","","","0.00","","","426695.54","41-USC-7101et seq        ","Contract Disputes Act","1826695.54","Y",
"US Army Corps of Engineers","57946 THRU 57962","Board of Contract Appeals","","DACA-83-02-C-0009","","201304105","042162013","07/12/2013","17500000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","17500000.00","Y",
"Bur of Indian Affair","1656-ISDA  1657-ISDA","Board of Contract Appeals","","CBCA 3254-C & 3255-C","","201305355","051522013","09/25/2013","0.00","","","72381.40","25-USC-450m-1            ","Indian Self Determination Contracts_","0.00","","","0.00","","","72381.40","Y",
"Bur of Indian Affair","1656-ISDA  1657-ISDA","Board of Contract Appeals","","1656-ISDA-R  1657-ISDA-R","","201305357","052132013","09/26/2013","96205.00","25-USC-450m-1            ","Indian Self Determination Contracts_","0.00","","","0.00","","","12707.95","41-USC-7101et seq        ","Contract Disputes Act","108912.95","Y",
