Defendant Agency Name,Docket #,Jurisdiction,Court Jurisdiction,Responsible Agency File #,Submitting Agency File #,Control #,Payment ID #,Payment Sent Date,Principal Amount,Principal Citation Code,Principal Citation Code Description,Attorney Fees Amount,Attorney Fees Citation Code,Attorney Fees Citation Code Description,Cost Amount,Cost Citation Code,Cost Citation Code Description,Interest Amount,Interest Citation Code,Interest Citation Code Description,Payment Amount,Reimbursable
"Department of Navy","","Board of Contract Appeals","","ASBCA55633","","200800283","03317281 ","10/26/2007","725000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","725000.00","Y",
"Department of Navy","","Board of Contract Appeals","","","","200802446","03372931 ","03/20/2008","121875.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","121875.00","Y",
"US Army Corps of Engineers","","Board of Contract Appeals","","N/A","","200802782","001522008","04/25/2008","490000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","49783.77","41-USC-601et seq         ","Contract Disputes Act","539783.77","Y",
"US Army Corps of Engineers","","Board of Contract Appeals","","ASBCA NO 53806","","200803055","004152008","05/19/2008","62248.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","20631.66","41-USC-601et seq         ","Contract Disputes Act","82879.66","Y",
"General Services Administration","","Board of Contract Appeals","","N/A","","200803259","010132008","06/17/2008","11900000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","117374.32","41-USC-601et seq         ","Contract Disputes Act","12017374.32","Y",
"Bur of Indian Affair","","Board of Contract Appeals","","N/A","","200803401","008172008","06/05/2008","108550.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","3032.60","41-USC-601et seq         ","Contract Disputes Act","111582.60","Y",
"General Services Administration","","Board of Contract Appeals","","N/A","","200803472","008692008","06/09/2008","110000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","110000.00","Y",
"Department of Navy","","Board of Contract Appeals","","BCA 53581, 54239","BCA 53581, 54239","200803971","013682008","07/09/2008","65475.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","24468.16","41-USC-601et seq         ","Contract Disputes Act","89943.16","Y",
"US Army Corps of Engineers","","Board of Contract Appeals","","ASBCA 46150","ASBCA 46150","200804195","016122008","07/17/2008","103680.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","8100.05","41-USC-601et seq         ","Contract Disputes Act","111780.05","Y",
"Department of the Air Force","","Board of Contract Appeals","","CONTRACT F31610-00-C-C003","CONTRACT F31610-00-C-C003","200804462","018602008","07/30/2008","895000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","895000.00","Y",
"Coast Guard","","Board of Contract Appeals","","NONE PROVIDED","","200804589","020522008","08/08/2008","196199.63","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","27476.30","41-USC-601et seq         ","Contract Disputes Act","223675.93","Y",
"Farmers Home Admin","97849c","Contract Disputes","","15497849","","200304634","03306761 ","10/04/2007","8998.16","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","7843.75","41-USC-601et seq         ","Contract Disputes Act","","Y",
"General Services Administration","99-898C","Contract Disputes","","15499898","","200704949","03256261 ","06/27/2008","825000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","1001845.85","41-USC-601et seq         ","Contract Disputes Act","1826845.85","N",
"Natl Park Service","","Contract Disputes","","","","200706173","03288451 ","10/10/2007","1450000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1450000.00","Y",
