Defendant Agency Name,Docket #,Jurisdiction,Court Jurisdiction,Responsible Agency File #,Submitting Agency File #,Control #,Payment ID #,Payment Sent Date,Principal Amount,Principal Citation Code,Principal Citation Code Description,Attorney Fees Amount,Attorney Fees Citation Code,Attorney Fees Citation Code Description,Cost Amount,Cost Citation Code,Cost Citation Code Description,Interest Amount,Interest Citation Code,Interest Citation Code Description,Payment Amount,Reimbursable
"US Army Corps of Engineers","","Board of Contract Appeals","","","","200607991","03127241 ","09/14/2006","74824.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","74824.00","Y",
"Department of the Army","0522C","Contract Disputes","","DJ1549522","","200504768","02947251 ","10/14/2005","30000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","30000.00","Y",
"National Aeronautics and Space Administration","99318C","Contract Disputes","","DJ15499318","","200505803","02947141 ","10/14/2005","500000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","500000.00","Y",
"US Army Corps of Engineers","","Contract Disputes","","ASNCA5488855155","ASNCA5488855155","200505890","02949201 ","10/05/2005","700000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","2416.44","41-USC-601et seq         ","Contract Disputes Act","702416.44","Y",
"Department of Navy","","Contract Disputes","","N6247089C8015","N6247089C8015","200600212","02955781 ","10/28/2005","274302.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","274302.00","Y",
"General Services Administration","","Contract Disputes","","GSBCA16528","","200600350","02959431 ","11/10/2005","649175.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","25763.20","41-USC-601et seq         ","Contract Disputes Act","674938.20","Y",
"General Services Administration","02141C","Contract Disputes","","15402141","","200600490","02962641 ","11/18/2005","95000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","95000.00","N",
"Forest Service","","Contract Disputes","","","","200600510","02963151 ","11/30/2005","1500000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1500000.00","Y",
"Natl Inst of Health","","Contract Disputes","","ASBCA NO53942","","200600546","02964401 ","11/30/2005","300000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","300000.00","Y",
"Customs and Border Protection","","Contract Disputes","","","","200600606","02965521 ","12/22/2005","604059.91","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","18593.47","41-USC-601et seq         ","Contract Disputes Act","622653.38","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600637","02969791 ","12/07/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600638","02969811 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600639","02969861 ","12/07/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600640","02969871 ","12/07/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600641","02969901 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600642","02969931 ","12/07/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600643","02969951 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600644","02969961 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600645","02969971 ","12/07/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600646","02969991 ","12/06/2005","1223.40","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1223.40","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600647","02970011 ","12/07/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600648","02970031 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600649","02970061 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600650","02970111 ","12/07/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600651","02970121 ","12/06/2005","1200.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1200.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600652","02970221 ","12/06/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600653","02970231 ","12/07/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600654","02970251 ","12/07/2005","1529.25","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1529.25","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600655","02970261 ","12/07/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600656","02970271 ","12/07/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600657","02970302 ","04/13/2006","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","0.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600658","02970321 ","12/06/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
