Defendant Agency Name,Docket #,Jurisdiction,Court Jurisdiction,Responsible Agency File #,Submitting Agency File #,Control #,Payment ID #,Payment Sent Date,Principal Amount,Principal Citation Code,Principal Citation Code Description,Attorney Fees Amount,Attorney Fees Citation Code,Attorney Fees Citation Code Description,Cost Amount,Cost Citation Code,Cost Citation Code Description,Interest Amount,Interest Citation Code,Interest Citation Code Description,Payment Amount,Reimbursable
"Forest Service","","Board of Contract Appeals","","AG-7604-D-07-0407","","201100529","004542011","11/16/2010","1053000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","33349.81","41-USC-601et seq         ","Contract Disputes Act","1086349.81","Y",
"Natl Inst of Health","","Board of Contract Appeals","","SA - 292-02-C-0326","","201100719","005672011","11/17/2010","8550000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","8550000.00","Y",
"General Services Administration","","Board of Contract Appeals","","SA - WL-09-0071","","201100728","005622011","11/17/2010","200000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","200000.00","Y",
"General Services Administration","","Board of Contract Appeals","","1842","","201100920","007792011","12/06/2010","172800.62","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","172800.62","Y",
"General Services Administration","","Board of Contract Appeals","","CBCA","","201102777","028882011","04/08/2011","414383.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","447.02","41-USC-601et seq         ","Contract Disputes Act","414830.02","Y",
"Department of the Air Force","","Board of Contract Appeals","","ASBCA # 56629 & 57498 57505 ETC","","201103478","034532011","05/13/2011","13000000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","13000000.00","Y",
"Coast Guard","","Board of Contract Appeals","","2312","","201103479","035192011","05/18/2011","1024551.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","8768.33","41-USC-601et seq         ","Contract Disputes Act","1033319.33","Y",
"Department of the Air Force","1382","Board of Contract Appeals","","NONE PROVIDED","","201103992","040862011","06/24/2011","350000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","176.20","41-USC-601et seq         ","Contract Disputes Act","350176.20","Y",
"US Army Corps of Engineers","","Board of Contract Appeals","","W9127S-05-C-6003","","201104290","042642011","07/01/2011","175000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","175000.00","Y",
"Department of the Air Force","","Board of Contract Appeals","","ASBCA NOS. 5691 & 57066","","201105328","055682011","09/14/2011","1500000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1500000.00","Y",
"US Army Corps of Engineers","","Board of Contract Appeals","","N/A","","201105469","056712011","09/16/2011","225000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","225000.00","Y",
"Department of Veterans Affairs","","Board of Contract Appeals","","NONE PROVIDED","","201105756","059152011","09/30/2011","48000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","48000.00","Y",
"Department of the Army","","Contract Disputes","","ASBCA 56985","","201005737","116612010","10/06/2010","225000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","225000.00","Y",
"General Services Administration","CBCA 508","Contract Disputes","","CBCA 508","CBCA 508","201100177","001232011","10/21/2010","1100000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1100000.00","Y",
"General Services Administration","420 450 451 1307 1855","Contract Disputes","","GS-09P-02-KTC-0002","","201100514","006242011","11/19/2010","27667001.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","378887.99","41-USC-601et seq         ","Contract Disputes Act","28045888.99","Y",
"Department of the Air Force","ASBC 5677,57012","Contract Disputes","","ASBCA #57012","","201100685","006232011","11/19/2010","90000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","90000.00","Y",
"Indian Health Svc","181-ISDA,279-ISDA,280-ISDA, 281-ISDA, 282-ISDA","Contract Disputes","","Intentionally Blank","","201101226","012052011","12/27/2010","625000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","625000.00","Y",
"Bur of Indian Affair","CBCA 1810, 1864, 1987","Contract Disputes","","CMJ00090002","","201101406","013852011","01/11/2011","360000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","360000.00","Y",
"Forest Service","CBCA NO 107","Contract Disputes","","CBCA 107","CBCA 107","201101585","015932011","01/20/2011","185000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","108312.73","41-USC-601et seq         ","Contract Disputes Act","293312.73","Y",
"Forest Service","CBCA 1779","Contract Disputes","","N/A","N/A","201101671","016642011","01/25/2011","25628.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","25628.00","Y",
